PKey,SOL,geometry
1001,136,74.8566126257,34.1808965607 74.8566126257,34.0910650323 74.9105115427,34.0910650323 74.9105115427,34.1808965607 74.8566126257,34.1808965607
1001,19,74.8835620842,34.1000481852 74.8835620842,34.0820818795 74.892545237,34.0820818795 74.892545237,34.1000481852 74.8835620842,34.1000481852
1001,746,74.7667810973,34.1808965607 74.7667810973,34.055132421 74.8745789314,34.055132421 74.8745789314,34.1808965607 74.7667810973,34.1808965607
1001,99,74.8835620842,34.0730987267 74.8835620842,34.0102166568 74.9464441541,34.0102166568 74.9464441541,34.0730987267 74.8835620842,34.0730987267
1002,34,77.2820638928,30.5696691186 77.2820638928,30.5606859657 77.3000301985,30.5606859657 77.3000301985,30.5696691186 77.2820638928,30.5696691186
1002,11,77.4707101025,30.5247533544 77.4707101025,30.5157702015 77.4796932553,30.5157702015 77.4796932553,30.5247533544 77.4707101025,30.5247533544
1002,65,77.1922323644,30.5337365072 77.1922323644,30.5067870487 77.2371481286,30.5067870487 77.2371481286,30.5337365072 77.1922323644,30.5337365072
1002,22,77.6144405479,30.488820743 77.6144405479,30.4708544373 77.6324068536,30.4708544373 77.6324068536,30.488820743 77.6144405479,30.488820743
1002,154,77.5695247837,30.4708544373 77.5695247837,30.4259386731 77.6863057707,30.4259386731 77.6863057707,30.4708544373 77.5695247837,30.4708544373
1003,248,74.4793202063,30.5067870487 74.4793202063,30.434921826 74.5511854291,30.434921826 74.5511854291,30.5067870487 74.4793202063,30.5067870487
1003,30,74.5062696649,30.4259386731 74.5062696649,30.4079723674 74.5242359706,30.4079723674 74.5242359706,30.4259386731 74.5062696649,30.4259386731
1003,76,74.6230506518,30.2372924635 74.6230506518,30.1923766993 74.667966416,30.1923766993 74.667966416,30.2372924635 74.6230506518,30.2372924635
1003,163,74.4613539007,30.2283093106 74.4613539007,30.1654272407 74.5152528177,30.1654272407 74.5152528177,30.2283093106 74.4613539007,30.2283093106
1003,77,74.667966416,29.9857641839 74.667966416,29.9498315725 74.7038990274,29.9498315725 74.7038990274,29.9857641839 74.667966416,29.9857641839
1006,228,75.8717088967,29.7432190572 75.8717088967,29.6893201402 75.9166246609,29.6893201402 75.9166246609,29.7432190572 75.8717088967,29.7432190572
1006,72,75.5572985473,29.698303293 75.5572985473,29.6623706816 75.5932311587,29.6623706816 75.5932311587,29.698303293 75.5572985473,29.698303293
1006,36,75.6920458399,29.5455896947 75.6920458399,29.527623389 75.7100121456,29.527623389 75.7100121456,29.5455896947 75.6920458399,29.5455896947
1006,337,75.404584949,29.5366065418 75.404584949,29.4827076248 75.4944164774,29.4827076248 75.4944164774,29.5366065418 75.404584949,29.5366065418
1006,48,75.3327197263,29.4018592492 75.3327197263,29.3838929435 75.3506860319,29.3838929435 75.3506860319,29.4018592492 75.3327197263,29.4018592492
1008,20,76.9137546263,26.6530144798 76.9137546263,26.6350481741 76.931720932,26.6350481741 76.931720932,26.6530144798 76.9137546263,26.6530144798
1008,14,76.9496872377,26.6170818685 76.9496872377,26.5901324099 76.9586703905,26.5901324099 76.9586703905,26.6170818685 76.9496872377,26.6170818685
