,PKey,avg_rad,cf_cvg,centroid
38,108,4.9961024193833286,8.46865471209164,[73.97177205 29.86000046]
39,109,1.8373036248611612,7.77702644592204,[77.50215115 29.88694991]
40,109,13.921257675213456,6.145904315793045,[77.67283105 29.69381178]
41,109,4.866284958691286,5.396578133333409,[77.407828   30.01271374]
42,109,3.4061854235669253,5.986602969603353,[77.43477745 29.9992386 ]
43,109,5.846899454861438,8.007231804421412,[77.5650332  29.95884525]
44,109,3.982053650877852,6.888502980485664,[77.41681115 29.71177824]
45,109,8.485674593514098,7.343218233167462,[77.60994895 30.16991881]
46,109,5.423779168768768,6.435097640406977,[77.259606   29.78813526]
48,110,6.308877464100335,6.326745289810916,[83.90264755 27.43454879]
49,110,2.6697701850392086,4.2988820828567125,[84.32485575 27.16056234]
50,110,8.529511647159358,3.165576173345603,[84.45960305 27.1111553 ]
51,110,9.320925441270006,2.989186758070414,[91.6236674  23.84128803]
52,116,5.467915978371891,12.300740802710717,[91.3766307 23.976035 ]
53,116,4.9660772697668385,12.594172533545548,[91.42154645 23.84577899]
54,116,6.222061113801642,12.022433535084646,[91.25984975 23.46399367]
55,116,4.826196920028724,11.943993390849572,[91.17001815 23.70204896]
56,116,18.40888330962167,12.102302421884618,[91.19247605 23.63467553]
57,116,7.803886358510468,12.689976303848931,[91.277816   23.84127501]
58,116,6.629786100466364,12.032905181699354,[91.4350212  23.80535543]
59,116,3.3278204711623314,12.47735008928121,[91.34069805 23.74696476]
60,116,31.354118305970413,12.587707184747197,[91.35866435 23.88171164]
61,116,6.631715132518989,11.798325742211254,[91.246375   23.90416945]
62,116,4.196897164209753,12.023556429348277,[91.2643413  23.69755701]
63,116,8.469319872095873,12.280390537742397,[90.17288825 25.5301204 ]
64,117,1.2888986854483517,13.266007843137254,[90.19983765 25.52113877]
65,117,2.939065209050055,13.788210112418549,[90.26721135 26.41496007]
66,118,3.814041750478007,13.11082928899108,[90.35704285 26.45089478]
67,118,15.253505974754399,12.379199153704038,[88.25947665 27.0437814 ]
68,119,4.788494194829828,8.918767994439554,[88.3672745  26.71590788]
69,119,4.556915249866207,8.361132623162176,[88.3313419  26.78776199]
70,119,3.760124379697972,8.69301630657455,[83.7948497  24.16468199]
71,120,4.5513812388890775,9.68827896470595,[83.77688335 21.37990381]
72,121,1.994282900613283,9.0,[83.39060785 21.30354714]
73,121,3.7434516507556856,8.0,[83.06272275 21.0026117 ]
74,121,4.124056658803555,10.0,[83.63315295 21.35295996]
75,121,4.999370256249382,8.038650436601296,[83.5837456  21.18676607]
76,121,6.363822374568818,8.0,[82.1958485  23.20348296]
77,122,5.906470495714307,8.025123933077063,[82.3485621  23.20348466]
78,122,5.256773754462056,7.925992,[82.15093275 23.20797435]
