system:index,PKey,nl_intensity,geometry
3115,405.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
3179,4209.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
3229,424.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
3261,428.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
3267,428.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
3278,429.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
3439,506.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
344,1202.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
345,1202.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
347,1202.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
3596,602.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
3688,621.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
3723,623.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
3765,628.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
3932,719.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
3980,724.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
4091,806.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
4249,906.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
4260,908.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
4281,909.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
4326,924.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
4365,927.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
532,1228.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
739,1322.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
802,133.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
817,1333.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
905,1421.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
944,1428.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
962,1429.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
978,1433.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
34,1009.0,"{avg_rad=14.233593644078711, cf_cvg=8.017172818030902}","{""geodesic"":true,""type"":""Point"",""coordinates"":[77.484184850001,28.485578407431664]}"
433,1208.0,"{avg_rad=6.917370430230944, cf_cvg=11.954827248154468}","{""geodesic"":true,""type"":""Point"",""coordinates"":[75.74145315000017,26.904627370912365]}"
4293,919.0,"{avg_rad=4.549185557944144, cf_cvg=10.068149134437126}","{""geodesic"":true,""type"":""Point"",""coordinates"":[87.1006499499999,23.675294515649075]}"
1320,1719.0,"{avg_rad=11.953559208980128, cf_cvg=11.852496556864777}","{""geodesic"":true,""type"":""Point"",""coordinates"":[88.32235875000022,22.457975578989572]}"
1497,1829.0,"{avg_rad=16.560843617006647, cf_cvg=11.11449260693326}","{""geodesic"":true,""type"":""Point"",""coordinates"":[77.59198270000036,12.94921209700848]}"
2353,2527.0,"{avg_rad=5.762844131317279, cf_cvg=11.66826322961045}","{""geodesic"":true,""type"":""Point"",""coordinates"":[73.89990685000046,18.61321427295541]}"
3762,628.0,"{avg_rad=14.78435212374376, cf_cvg=11.145296269696274}","{""geodesic"":true,""type"":""Point"",""coordinates"":[78.49478949999903,17.418351682216827]}"
1930,2127.0,"{avg_rad=9.340051419534896, cf_cvg=11.617858014666831}","{""geodesic"":true,""type"":""Point"",""coordinates"":[73.01506629999965,19.250930509097216]}"
2125,2318.0,"{avg_rad=6.147684172050593, cf_cvg=9.29778207653717}","{""geodesic"":true,""type"":""Point"",""coordinates"":[91.75392309999863,26.154473473441012]}"
372,1205.0,"{avg_rad=3.6564361448568294, cf_cvg=6.0883268587460515}","{""geodesic"":true,""type"":""Point"",""coordinates"":[79.02030395000024,29.190822027947767]}"
3909,709.0,"{avg_rad=7.961339747542601, cf_cvg=7.616110973851878}","{""geodesic"":true,""type"":""Point"",""coordinates"":[77.69079735000034,29.015558041471667]}"
1673,2006.0,"{avg_rad=11.74244293111168, cf_cvg=7.6770158265932835}","{""geodesic"":true,""type"":""Point"",""coordinates"":[77.30003019999943,28.36878945596529]}"
4282,909.0,"{avg_rad=12.981758633298979, cf_cvg=7.113016207113484}","{""geodesic"":true,""type"":""Point"",""coordinates"":[77.46172695000082,28.732760680175453]}"
4097,807.0,"{avg_rad=25.317313282332695, cf_cvg=9.293062957958407}","{""geodesic"":true,""type"":""Point"",""coordinates"":[77.02604405000015,28.579996927885112]}"
1417,1806.0,"{avg_rad=9.137316585408538, cf_cvg=8.123374797831863}","{""geodesic"":true,""type"":""Point"",""coordinates"":[76.98112825000072,28.39580498257002]}"
165,107.0,"{avg_rad=21.153559303416408, cf_cvg=8.299190566064393}","{""geodesic"":true,""type"":""Point"",""coordinates"":[77.07994295000067,28.777567437334692]}"
4094,806.0,"{avg_rad=5.006495658050625, cf_cvg=7.391337360788482}","{""geodesic"":true,""type"":""Point"",""coordinates"":[77.07095980000058,29.024505698190342]}"
3875,706.0,"{avg_rad=6.5478582271715835, cf_cvg=8.49543292478377}","{""geodesic"":true,""type"":""Point"",""coordinates"":[76.94519570000024,29.338947937131216]}"
3624,606.0,"{avg_rad=6.752543358623372, cf_cvg=8.044020438434966}","{""geodesic"":true,""type"":""Point"",""coordinates"":[76.92722935000161,29.532135725828216]}"
666,1305.0,"{avg_rad=3.4191691230725385, cf_cvg=6.484837340077654}","{""geodesic"":true,""type"":""Point"",""coordinates"":[77.87944354999945,29.86000333699176]}"
182,109.0,"{avg_rad=5.846899454861438, cf_cvg=8.007231804421412}","{""geodesic"":true,""type"":""Point"",""coordinates"":[77.56503320000171,29.95884525229663]}"
1411,1803.0,"{avg_rad=7.0825724258355205, cf_cvg=5.976362114170517}","{""geodesic"":true,""type"":""Point"",""coordinates"":[76.76104100000077,30.619059997422685]}"
988,1503.0,"{avg_rad=5.7605286381383705, cf_cvg=7.144852385027537}","{""geodesic"":true,""type"":""Point"",""coordinates"":[74.86110419999935,31.64319956772455]}"
3857,703.0,"{avg_rad=7.3054921632597125, cf_cvg=9.163372106468634}","{""geodesic"":true,""type"":""Point"",""coordinates"":[75.87620049999938,30.87967489868737]}"
1834,2101.0,"{avg_rad=4.880811459877039, cf_cvg=6.622584001893079}","{""geodesic"":true,""type"":""Point"",""coordinates"":[74.82068005000042,32.73454488058064]}"
1022,1508.0,"{avg_rad=11.054399951676356, cf_cvg=12.031431178375437}","{""geodesic"":true,""type"":""Point"",""coordinates"":[73.03752419999957,26.275741651223147]}"
584,124.0,"{avg_rad=4.2058660404648345, cf_cvg=12.521811309271412}","{""geodesic"":true,""type"":""Point"",""coordinates"":[70.12249109999922,23.100184003444998]}"
3991,724.0,"{avg_rad=6.729412015999401, cf_cvg=12.115204187557042}","{""geodesic"":true,""type"":""Point"",""coordinates"":[72.52997599999951,22.992415619493777]}"
1598,1924.0,"{avg_rad=8.448322295744672, cf_cvg=12.409657832380264}","{""geodesic"":true,""type"":""Point"",""coordinates"":[73.17676305000037,22.32313785269462]}"
2022,2223.0,"{avg_rad=4.181352861956474, cf_cvg=10.45919362165471}","{""geodesic"":true,""type"":""Point"",""coordinates"":[75.77738580000025,22.678010555524907]}"
2212,2408.0,"{avg_rad=3.2502290478924083, cf_cvg=11.243714891303231}","{""geodesic"":true,""type"":""Point"",""coordinates"":[74.61406749999934,25.314501954627477]}"
873,1409.0,"{avg_rad=8.172031893648473, cf_cvg=8.978004115190029}","{""geodesic"":true,""type"":""Point"",""coordinates"":[77.67283099999894,27.483932470309874]}"
1177,1609.0,"{avg_rad=4.305086267751105, cf_cvg=9.916539122523012}","{""geodesic"":true,""type"":""Point"",""coordinates"":[78.36004225000057,27.178608101555483]}"
1031,1509.0,"{avg_rad=6.958350838328998, cf_cvg=10.663899800476841}","{""geodesic"":true,""type"":""Point"",""coordinates"":[78.04114030000001,27.2010528290723]}"
3035,3509.0,"{avg_rad=5.613993030840173, cf_cvg=6.126744913368375}","{""geodesic"":true,""type"":""Point"",""coordinates"":[78.59809580000079,25.408848447182447]}"
2482,2723.0,"{avg_rad=7.329171012969721, cf_cvg=8.92818461733669}","{""geodesic"":true,""type"":""Point"",""coordinates"":[77.42130275000086,23.225951443089098]}"
3364,4623.0,"{avg_rad=8.128494595816518, cf_cvg=7.9843566748025685}","{""geodesic"":true,""type"":""Point"",""coordinates"":[82.63602299999997,24.13325296117657]}"
3573,5709.0,"{avg_rad=5.87632961916038, cf_cvg=4.618246355993771}","{""geodesic"":true,""type"":""Point"",""coordinates"":[83.31874260000005,26.765354240363887]}"
3317,4409.0,"{avg_rad=14.810016997101064, cf_cvg=7.456778975854113}","{""geodesic"":true,""type"":""Point"",""coordinates"":[81.86347184999971,25.435783870532372]}"
2401,2609.0,"{avg_rad=11.815267432626374, cf_cvg=7.870618754347453}","{""geodesic"":true,""type"":""Point"",""coordinates"":[80.93371555000168,26.864115765228142]}"
2962,3309.0,"{avg_rad=9.076631410479314, cf_cvg=8.398986306079914}","{""geodesic"":true,""type"":""Point"",""coordinates"":[80.28692849999956,26.4554375268539]}"
2540,2810.0,"{avg_rad=6.199800582853824, cf_cvg=5.831322930863181}","{""geodesic"":true,""type"":""Point"",""coordinates"":[85.15130575000025,25.57512336865534]}"
58,1020.0,"{avg_rad=9.44202054006704, cf_cvg=9.750204123478667}","{""geodesic"":true,""type"":""Point"",""coordinates"":[86.0990283999999,23.67960936794794]}"
52,1020.0,"{avg_rad=6.15923886194222, cf_cvg=9.14630119517141}","{""geodesic"":true,""type"":""Point"",""coordinates"":[85.93284009999908,23.791934596956175]}"
1562,1920.0,"{avg_rad=7.043579137433003, cf_cvg=9.647467196337555}","{""geodesic"":true,""type"":""Point"",""coordinates"":[85.32647725000066,23.356222094355864]}"
4305,920.0,"{avg_rad=6.907414625235281, cf_cvg=9.795186434804844}","{""geodesic"":true,""type"":""Point"",""coordinates"":[86.35504829999948,23.751535675139156]}"
4304,920.0,"{avg_rad=5.2423750065077845, cf_cvg=9.321888036936855}","{""geodesic"":true,""type"":""Point"",""coordinates"":[86.74132384999936,23.76493690205516]}"
473,1219.0,"{avg_rad=7.029365301716359, cf_cvg=11.10200617195003}","{""geodesic"":true,""type"":""Point"",""coordinates"":[88.33134189999997,22.839603407398926]}"
248,1119.0,"{avg_rad=12.123996700685161, cf_cvg=11.859973694175629}","{""geodesic"":true,""type"":""Point"",""coordinates"":[88.44363130000012,22.758757294143628]}"
1044,1519.0,"{avg_rad=13.017508008481505, cf_cvg=12.13339502979697}","{""geodesic"":true,""type"":""Point"",""coordinates"":[88.25498509999954,22.60613220056086]}"
1049,1519.0,"{avg_rad=4.003326444611322, cf_cvg=11.045134325111073}","{""geodesic"":true,""type"":""Point"",""coordinates"":[88.03040629999919,22.475885571856534]}"
1992,221.0,"{avg_rad=6.3761195269728885, cf_cvg=8.724678824695602}","{""geodesic"":true,""type"":""Point"",""coordinates"":[83.94307170000097,21.82460398074848]}"
3512,522.0,"{avg_rad=8.236564567147829, cf_cvg=8.022030758916367}","{""geodesic"":true,""type"":""Point"",""coordinates"":[82.62703984999911,22.37708155792558]}"
3966,722.0,"{avg_rad=5.150415048813778, cf_cvg=8.300609008043454}","{""geodesic"":true,""type"":""Point"",""coordinates"":[82.14644114999997,22.04916178825288]}"
271,1122.0,"{avg_rad=5.73164943656896, cf_cvg=8.636233991500655}","{""geodesic"":true,""type"":""Point"",""coordinates"":[81.67482560000114,21.27210029722472]}"
73,1022.0,"{avg_rad=9.94955114186017, cf_cvg=9.66305447273619}","{""geodesic"":true,""type"":""Point"",""coordinates"":[81.38736475000076,21.218256158235672]}"
